F[Kn];delta_u 1+2
17.41678;0
32.2143;-0.00137067
47.34065;-0.00074892
66.41305;-0.0008719
84.17005;-0.00069857
109.16135;-0.00051578
134.1525;0.00030562
161.775;0.00042032
196.9605;0.00090722
233.7895;0.00179452
277.853;0.00180002
328.8225;0.00317292
388.3415;0.00311822
448.518;0.00365572
516.258;0.00490242
589.5875;0.00646832
665.5485;0.00638282
747.0995;0.00764312
832.925;0.00878322
924.6695;0.01005502
1016.415;0.01236822
1114.075;0.01245612
1209.44;0.01318892
1307.435;0.01469662
1406.085;0.01645682
1506.705;0.01812952
1607.33;0.02103942
1707.95;0.02108902
1806.27;0.02320742
1906.24;0.02548912
2006.865;0.02820292
2105.51;0.03009612
2204.82;0.03289782
2303.145;0.03511972
2398.835;0.03775792
2488.935;0.04085292
2580.35;0.04360822
2666.175;0.04624582
2745.75;0.04942972
2818.425;0.05179502
2892.745;0.05416042
2958.18;0.05779362
3020;0.06229202
3076.56;0.06542462
3133.78;0.06880542
3185.075;0.07322942
3238.015;0.07729622
3286.355;0.08309032
3333.055;0.08652232
3380.075;0.09109792
3426.77;0.09620732
3466.885;0.10064162
3506.02;0.10552652
3548.435;0.11110972
3588.23;0.11568732
3625.715;0.12189952
3661.225;0.12750542
3698.385;0.13291182
3733.57;0.13886512
3765.14;0.14492612
3795.725;0.15147912
3823.015;0.15804012
3850.635;0.16561902
3881.215;0.17260452
3910.155;0.17960082
3940.41;0.18738642
3966.06;0.19549792
3993.02;0.20395232
4019.325;0.21280492
4045.635;0.22209162
4069.31;0.23205032
4090.355;0.24231742
4112.715;0.25373212
4134.09;0.26567712
4152.835;0.27851612
4177.825;0.29201842
4197.555;0.30649542
4219.59;0.32201842
4235.705;0.34473942
4250.5;0.37181142
