FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
-2873.3522,717.51542,-0.34248,0.4825751,-2866.7768,717.51609,-0.33189,0.466927
-2882.5622,721.46142,-0.35173,0.4968621,-2877.2968,719.48909,-0.34187,0.480795
-2897.6822,724.09242,-0.36151,0.5115521,-2897.6868,726.06509,-0.35208,0.494942
-2913.4722,728.03842,-0.37118,0.5262491,-2909.5268,726.72309,-0.36224,0.508884
-2922.0222,726.06542,-0.38063,0.5408021,-2918.0768,730.66909,-0.37245,0.523112
-2929.9122,731.98442,-0.39057,0.5554771,-2938.4568,731.32709,-0.38272,0.537141
-2938.4622,735.93042,-0.40018,0.5700911,-2938.4568,737.24609,-0.39276,0.551163
-2943.7222,738.56142,-0.40989,0.5848571,-2950.2968,737.90309,-0.40343,0.565501
-2958.8522,739.21842,-0.4199,0.5997771,-2959.5068,741.19209,-0.41387,0.579803
-2969.3722,741.84942,-0.42983,0.6145171,-2976.6068,744.48009,-0.42443,0.594113
-2968.7122,743.82242,-0.43964,0.6295061,-2980.5468,745.13809,-0.43518,0.608714
-2986.4722,745.13742,-0.44978,0.6445421,-2993.0468,746.45309,-0.44582,0.623386
-2983.8422,747.11042,-0.45992,0.6595551,-2994.3568,748.42609,-0.45671,0.637915
-2989.7622,749.08342,-0.47024,0.6749091,-3006.8568,749.74109,-0.46769,0.652693
-3007.5122,751.05642,-0.48075,0.6903211,-3012.7768,753.68709,-0.47861,0.667338
-3004.8822,752.37242,-0.49105,0.7055691,-3012.7768,753.03009,-0.48962,0.682145
-3006.2022,752.37242,-0.50157,0.7208991,-3018.0368,757.63309,-0.50067,0.6969
-3012.1222,755.66042,-0.51199,0.7360731,-3023.9568,758.29109,-0.51167,0.711678
-3016.7222,756.31842,-0.52263,0.7513851,-3027.2468,757.63309,-0.52294,0.726474
-3025.9322,756.97542,-0.53332,0.7667941,-3032.5068,757.63309,-0.53432,0.741187
