F1_a(N);Delta_u13_a(mm);F2_a(N);Delta_u24_a(mm);F1_b2(N);Delta_u13_b2(mm);F2_b2(N);Delta_u24_b2(mm)
4881.2;0.22819314;-2557.68;-0.1922405;4750.99;0.22229107;-2535.98;-0.19056957
4918.69;0.23618314;-2580.04;-0.1991071;4791.76;0.23109707;-2560.97;-0.19831937
4951.57;0.24416214;-2596.48;-0.2058803;4829.91;0.24026607;-2577.41;-0.20616817
4994.32;0.25239214;-2612.93;-0.2127273;4866.08;0.24932507;-2599.11;-0.21435617
5029.84;0.26038414;-2631.34;-0.2198413;4900.93;0.25853407;-2617.53;-0.22233247
5064.69;0.26891314;-2645.81;-0.2265933;4954.21;0.26819607;-2639.23;-0.23038467
5099.55;0.27728214;-2660.28;-0.2339593;4984.46;0.27745107;-2657.65;-0.23826907
5131.78;0.28595814;-2682.64;-0.2410803;5019.97;0.28692907;-2675.4;-0.24694657
5162.03;0.29427914;-2694.48;-0.2491293;5064.69;0.29629707;-2693.16;-0.25519857
5196.89;0.30323214;-2719.47;-0.2561133;5101.52;0.30604707;-2710.92;-0.26370857
5227.14;0.31236314;-2728.68;-0.2635543;5133.75;0.31613407;-2729.33;-0.27227257
5254.1;0.32111414;-2745.12;-0.2711443;5165.97;0.32614707;-2743.8;-0.28088157
5293.56;0.33035714;-2764.85;-0.2787553;5196.23;0.33658207;-2758.27;-0.28983357
5317.9;0.33942714;-2777.34;-0.2865833;5231.74;0.34689407;-2776.03;-0.29908957
5358.01;0.34900414;-2793.13;-0.2946513;5264.63;0.35749707;-2798.39;-0.30792757
5390.9;0.35854514;-2812.2;-0.3027583;5300.14;0.36795307;-2813.51;-0.31720457
5419.18;0.36854614;-2826.01;-0.3108203;5338.28;0.37844707;-2830.61;-0.32627857
5446.8;0.37822014;-2836.53;-0.3191903;5363.93;0.38931307;-2843.77;-0.33563557
5476.39;0.38827314;-2852.32;-0.3281163;5392.87;0.39986307;-2858.89;-0.34494457
5504.67;0.39839414;-2869.42;-0.3361803;5423.78;0.41065207;-2875.34;-0.35439057
5536.24;0.40860714;-2884.54;-0.3447103;5453.38;0.42166807;-2891.78;-0.36395857
5562.55;0.41866714;-2898.35;-0.3533203;5483.63;0.43276407;-2904.27;-0.37356657
5588.2;0.42904214;-2914.14;-0.3621523;5521.12;0.44362507;-2922.03;-0.38326257
5615.82;0.43943814;-2927.95;-0.3708583;5547.42;0.45476807;-2935.18;-0.39300757
5640.81;0.44991214;-2940.44;-0.3798013;5574.39;0.46618107;-2945.05;-0.40264857
5673.04;0.46058114;-2953.6;-0.3887393;5598.06;0.47757507;-2960.17;-0.41258357
5698.03;0.47125614;-2968.07;-0.3976353;5627.66;0.48879807;-2979.9;-0.42239457
5728.94;0.48198914;-2979.9;-0.4069273;5655.94;0.50035607;-2987.8;-0.43292157
5754.59;0.49285014;-2994.37;-0.4161323;5682.9;0.51231807;-2999.63;-0.44322157
5782.21;0.50379614;-3007.53;-0.4254343;5710.53;0.52410507;-3017.39;-0.45375457
