F[Kn];delta_u 1+2
11.82658;0
32.87195;-0.00122808
57.20565;0.00062226
82.19705;0.00016438
110.47655;0.000734406
141.0585;0.00146272
178.5455;0.00234559
216.361;0.00245715
265.6865;0.00309016
318.9575;0.003054988
378.4765;0.005045619
442.9275;0.00478487
510.339;0.00535914
583.998;0.00710894
658.9715;0.00691961
735.59;0.00782256
816.1545;0.0078979
895.0745;0.00857628
975.9675;0.00884216
1057.52;0.009301393
1143.675;0.00921862
1229.495;0.0089959
1316.635;0.01012548
1406.74;0.00981296
1498.485;0.00939588
1585.295;0.01078411
1678.03;0.0113206
1766.815;0.0122964
1857.9;0.01390661
1948;0.01512981
2033.5;0.01632152
2123.6;0.01789887
2209.75;0.01967635
2294.595;0.02091557
2377.13;0.02385215
2455.72;0.02598215
2531.68;0.02816935
2600.41;0.03124105
2665.19;0.03330725
2726.68;0.03636425
2780.61;0.03967175
2831.91;0.04260715
2880.9;0.04705255
2925.625;0.05199475
2967.715;0.05605045
3010.135;0.06194785
3042.69;0.06645025
3086.755;0.07203175
3117.99;0.07779355
;
3184.09;0.08768345
3216.975;0.09304065
3249.2;0.09936315
3276.82;0.10480575
3307.73;0.11099885
3333.705;0.11719935
3360.675;0.12294045
3388.295;0.12910035
3413.285;0.13496165
3438.605;0.14148595
3463.265;0.14729305
3486.285;0.15478245
3507.005;0.16042985
3527.72;0.16605515
3550.74;0.17332785
3570.795;0.17953175
3590.855;0.18706175
3613.215;0.19308915
3630.32;0.20043085
3647.085;0.20643865
3664.52;0.21346855
3682.27;0.22107755
3700.36;0.22777125
3715.815;0.23551985
3731.27;0.24218755
3747.05;0.24971395
3761.52;0.25743535
3775.005;0.26473175
3788.49;0.27193135
3800.65;0.27960755
3811.835;0.28787395
3825.645;0.29449085
3837.48;0.30219975
3846.36;0.30879145
3857.21;0.31763065
3867.735;0.32612395
3874.97;0.33398785
3884.505;0.34233215
3893.055;0.35132525
3902.59;0.36038285
3911.14;0.36933675
3917.06;0.37800695
3923.31;0.38749595
3929.225;0.39733295
3934.82;0.40649885
3938.435;0.41733865
3942.05;0.42891295
3943.7;0.43996125
3946.985;0.45187905
3945.345;0.46439125
3943.695;0.47858535
3938.435;0.49287535
3930.215;0.50648535
3919.035;0.52362135
