x;y;z
-0.5551;0.2096;245
-0.5444;0.3247;235
-0.3253;0.6313;260
-0.3199;0.601;250
-0.3114;0.5745;250
-0.299;0.5989;250
-0.2868;0.5814;230
-0.2575;0.5623;230
-0.1624;0.577;230
-0.111;0.3474;260
-0.07255;0.3607;260
-0.04817;0.3047;245
-0.003127;0.3222;245
-0.001283;0.402;260
-0.001143;0.5318;260
0.05975;0.3239;250
0.09225;0.3577;260
0.1626;0.3187;260
0.1758;0.3838;260
0.3433;0.4071;260
0.3468;0.3834;280
