FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
0,0,0,0,0,0,0,0
4.60362,-1.31534,3E-05,0.0005594,-3.2883,-1.973,-7E-05,3.5E-05
11.83802,-1.31534,0.00016,0.0022711,-2.6306,-1.973,-0.0001,4.6E-05
8.54972,-1.97301,0.00016,0.0023476,-13.1533,1.31532,-0.00013,0.000107
5.91902,-0.65767,0.00011,0.0022829,-14.4687,0,-0.00024,0.000133
8.54972,-1.97301,0.00013,0.0023428,-17.0993,0.65762,-0.00025,0.000121
7.23432,-1.31534,1E-04,0.0023486,-19.0723,0,-0.00025,0.000158
8.54972,-1.31534,0.0001,0.0025888,-20.3877,1.97302,-0.00024,0.000161
7.23432,-1.31534,4E-05,0.0026248,-23.0183,1.31532,-0.00022,0.000106
3.94602,0,9E-05,0.0026289,-23.676,0,-0.00029,0.000185
5.26132,-0.65767,6E-05,0.0026156,-26.3067,1.31532,-0.00031,0.000206
5.91902,0.65766,0.00013,0.0026861,-24.3337,0,-0.00032,0.00023
-108.51558,18.41466,-0.00132,0.0020136,-30.9104,3.28832,-0.00045,0.000317
-111.14558,19.07236,-0.00137,0.0021189,-40.1177,5.26132,-0.00044,0.000372
-109.83058,19.07236,-0.00129,0.0021407,-53.9287,5.91902,-0.00064,0.000451
-115.74958,16.44166,-0.00144,0.002201,-58.5324,8.54972,-0.0008,0.000486
-122.32658,16.44166,-0.00139,0.0022323,-71.0281,8.54972,-0.00087,0.000648
-136.79458,23.01836,-0.0016,0.0023854,-80.8931,11.83802,-0.00091,0.000704
-149.29058,28.27976,-0.00172,0.0025132,-90.7585,13.15332,-0.0011,0.000829
-169.02058,28.27976,-0.00204,0.0026914,-111.1455,17.09932,-0.00133,0.000958
-200.58858,35.51406,-0.00249,0.0031046,-140.7405,20.38772,-0.0016,0.001189
-248.59858,41.43306,-0.00311,0.0035947,-197.3005,28.93742,-0.00232,0.001834
-346.59058,58.53246,-0.00419,0.0049634,-273.5895,44.72142,-0.00331,0.002786
-464.97158,76.94716,-0.00535,0.0067113,-385.3935,61.16312,-0.00465,0.004177
-607.02758,101.93876,-0.00712,0.0087359,-516.9265,83.52382,-0.00635,0.005818
-774.07558,132.19076,-0.00888,0.0108731,-661.6135,106.54242,-0.00821,0.007618
-958.22258,160.47076,-0.01122,0.0132264,-818.7965,133.50642,-0.01072,0.009499
-1155.52058,194.66976,-0.01378,0.0158075,-997.0205,163.10142,-0.01336,0.011624
-1362.69058,227.55276,-0.01695,0.0186928,-1187.7505,195.32742,-0.0166,0.014099
-1554.73058,261.09376,-0.02094,0.0221813,-1383.7305,224.92242,-0.02107,0.017063
-1736.90058,290.03176,-0.02619,0.027036,-1567.8805,259.77842,-0.02677,0.020773
-1882.90058,315.68076,-0.03297,0.0333482,-1734.2705,286.74342,-0.03382,0.025764
-1996.02058,334.75276,-0.04108,0.0415232,-1863.8305,309.76142,-0.04222,0.032477
-2095.99058,351.19476,-0.05041,0.0511112,-1974.3205,326.86142,-0.05162,0.04071
-2188.06058,366.97876,-0.06014,0.0614442,-2066.3905,342.64542,-0.06179,0.050201
-2265.01058,380.78976,-0.06999,0.0722802,-2157.1505,359.08642,-0.07232,0.06027
-2338.01058,389.33976,-0.08016,0.0835672,-2229.4905,368.95142,-0.08276,0.070891
-2407.06058,405.12376,-0.09051,0.0951582,-2303.1505,380.78942,-0.09365,0.081999
-2479.41058,411.69976,-0.10085,0.1072392,-2366.9505,391.31242,-0.10473,0.093508
-2535.97058,426.82676,-0.11156,0.1197942,-2422.8505,402.49242,-0.11596,0.105333
-2596.47058,434.71876,-0.12264,0.1328312,-2489.9305,411.70042,-0.1272,0.117549
-2645.14058,443.26776,-0.13363,0.1461452,-2543.2005,422.88042,-0.13905,0.130131
-2703.01058,453.13276,-0.1446,0.1593522,-2593.8405,430.77242,-0.15054,0.143104
-2743.79058,462.34076,-0.15535,0.1724482,-2638.5605,439.32242,-0.16226,0.156138
-2795.75058,466.94376,-0.16623,0.1857192,-2688.5505,448.52942,-0.17413,0.169388
-2828.63058,472.86276,-0.17675,0.1991762,-2736.5605,455.10642,-0.18566,0.182506
-2869.40058,480.75476,-0.18743,0.2124492,-2786.5405,461.68242,-0.1972,0.19571
-2914.13058,485.35876,-0.19815,0.2258572,-2815.4805,467.60142,-0.20847,0.208995
-2956.22058,492.59276,-0.20894,0.2396362,-2861.5105,475.49342,-0.21991,0.222153
-2990.42058,499.82776,-0.21961,0.2533062,-2896.3705,480.09742,-0.23155,0.235791
-3010.80058,505.08876,-0.23018,0.2670142,-2922.6805,482.72842,-0.24278,0.24923
-3049.61058,510.35076,-0.24093,0.2807182,-2962.1405,491.27842,-0.25416,0.262576
-3075.91058,511.66576,-0.25138,0.2945062,-2992.3905,495.22442,-0.26528,0.276025
-3114.06058,520.87276,-0.26215,0.3084552,-3011.4605,498.51242,-0.27656,0.289694
-3131.81058,524.16176,-0.27294,0.3226222,-3039.7405,504.43142,-0.288,0.303356
-3167.99058,530.08076,-0.28363,0.3366382,-3071.9705,509.03542,-0.29944,0.317151
-3187.06058,532.05376,-0.2944,0.3510492,-3096.9605,513.63842,-0.31078,0.330994
-3202.18058,536.65676,-0.30492,0.3649532,-3119.9805,516.26942,-0.32212,0.344941
-3228.49058,540.60276,-0.31553,0.3790202,-3139.7105,522.18842,-0.33335,0.358715
-3249.54058,543.23376,-0.32627,0.3934252,-3156.1505,526.79242,-0.34479,0.372565
-3271.24058,548.49476,-0.33728,0.4078872,-3184.4305,530.08042,-0.35623,0.386634
-3291.63058,547.83776,-0.34792,0.4223942,-3205.4705,532.71142,-0.36769,0.400903
-3310.70058,553.09876,-0.35881,0.4370282,-3216.6505,535.34142,-0.37914,0.415166
-3334.38058,555.72976,-0.37,0.4516202,-3231.7805,537.97242,-0.39075,0.429458
-3348.19058,561.64876,-0.38098,0.4662962,-3259.4005,542.57642,-0.40244,0.444002
-3360.68058,562.30576,-0.39159,0.4807902,-3279.1305,544.54942,-0.41398,0.458304
-3389.62058,566.25176,-0.40235,0.4953072,-3290.3105,545.20642,-0.42534,0.472401
-3395.54058,567.56776,-0.41328,0.5096752,-3311.3605,549.81042,-0.43692,0.486502
-3405.40058,566.25176,-0.42412,0.5241582,-3323.2005,549.81042,-0.44841,0.500859
-3425.13058,572.17076,-0.4349,0.5386592,-3335.0305,554.41442,-0.45992,0.515083
-3444.86058,571.51376,-0.44596,0.5533222,-3340.2905,555.72942,-0.47134,0.529405
-3444.21058,575.45976,-0.45715,0.5680892,-3350.1605,557.70242,-0.48295,0.543783
-3452.10058,578.74776,-0.46806,0.5825872,-3363.9705,559.67542,-0.49458,0.558243
-3459.33058,579.40576,-0.47909,0.5972902,-3378.4405,562.96342,-0.50624,0.572577
-3467.88058,578.08976,-0.49028,0.6118702,-3385.0205,561.64842,-0.51785,0.587038
-3491.56058,582.69376,-0.50129,0.6265962,-3398.8305,562.30642,-0.52949,0.601417
-3495.50058,582.69376,-0.51262,0.6413992,-3396.2005,566.25242,-0.54129,0.615911
-3505.37058,585.32476,-0.52386,0.6563602,-3417.9005,566.90942,-0.5533,0.630554
-3505.37058,584.66676,-0.53509,0.6712902,-3423.1605,566.90942,-0.56532,0.645152
-3510.63058,587.29776,-0.54667,0.6864242,-3421.8505,567.56742,-0.57731,0.660072
-3525.10058,587.95476,-0.55812,0.7012592,-3429.0805,569.54042,-0.58934,0.674851
-3523.13058,589.92776,-0.5694,0.7160482,-3450.1305,570.85542,-0.6014,0.689321
-3532.33058,588.61276,-0.58121,0.7313042,-3446.8405,573.48642,-0.61356,0.704071
-3546.14058,591.90076,-0.59316,0.7465842,-3447.4905,574.80142,-0.62605,0.718987
-3528.39058,592.55876,-0.60484,0.7616122,-3459.9905,574.14442,-0.63837,0.73395
-3542.20058,593.21676,-0.61657,0.7765882,-3462.6205,578.09042,-0.65083,0.748682
-3542.86058,593.87376,-0.62845,0.7916982,-3467.2205,577.43242,-0.66311,0.763427
-3548.78058,593.87376,-0.64038,0.8067262,-3456.7005,574.14442,-0.67547,0.778282
-3552.72058,592.55876,-0.65248,0.8220372,-3469.8605,576.77442,-0.68824,0.79293
-3464.59058,578.74776,-0.66681,0.8399402,-3466.5705,574.80142,-0.70146,0.808224
-3547.46058,591.24376,-0.6771,0.8521462,-3435.6605,570.19842,-0.71475,0.823518
-3551.41058,594.53176,-0.68919,0.8668912,-3465.2505,577.43242,-0.7267,0.837192
-3564.56058,595.18976,-0.70124,0.8817722,-3431.7105,570.85542,-0.74063,0.853135
-3534.31058,589.92776,-0.71512,0.8979572,-3427.7605,570.19842,-0.75377,0.868028
-3458.02058,576.11676,-0.7301,0.9155492,-3361.3405,557.70242,-0.76861,0.88494
-3442.23058,576.11676,-0.74335,0.9306882,-3385.0205,562.30642,-0.78167,0.899177
-3342.93058,564.93676,-0.75741,0.9471362,-3465.2505,577.43242,-0.79252,0.911287
-3495.50058,582.69376,-0.76887,0.9598982,-3446.8405,574.80142,-0.80616,0.926539
-3222.57058,537.31476,-0.79098,0.9848242,-3439.6005,569.54042,-0.82081,0.941711
-3228.49058,538.62976,-0.80518,0.9996542,-3221.2605,534.02642,-0.84189,0.963029
,,,,-3166.6705,524.81942,-0.85978,0.980089
