FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
0,0,0,0,0,0,0,0
1.9731,1.973,-3E-05,6E-06,0.6576,-1.97296,7E-05,3.06E-05
-0.6576,3.946,1E-05,4E-05,0,-0.65762,-4E-05,9.01E-05
-1.3153,2.6307,3E-05,0.000141,-0.6577,1.3154,-1E-04,0.0001299
-0.6576,1.3153,-8E-05,0.000165,1.3153,2.6307,-1E-04,0.0001328
-4.6036,2.6307,-4E-05,0.000217,-1.973,-1.97296,-2E-05,0.0002092
-5.2613,5.919,-8E-05,0.000263,-4.6037,0,-9E-05,0.0002353
-5.919,9.2074,-0.00012,0.000421,-6.5767,0.6577,-0.00016,0.0003097
-9.865,9.2074,-0.00014,0.000399,-7.2344,2.6307,-0.00015,0.0002608
-9.865,6.5767,-0.0002,0.000477,-6.5767,5.2614,-0.00013,0.0003278
-11.838,9.865,-0.00029,0.000544,-7.892,5.2614,-0.00026,0.0004151
-11.838,6.5767,-0.00028,0.000554,-14.4687,4.6037,-0.00032,0.0004373
-13.811,9.865,-0.00024,0.000567,-17.0994,9.8651,-0.00045,0.0006549
-17.0993,9.865,-0.00029,0.000644,-21.0454,12.4957,-0.00058,0.0006763
-17.0993,13.1534,-0.00018,0.000766,-25.6491,11.8381,-0.00059,0.000824
-19.0723,11.838,-0.00011,0.000746,-26.3067,13.1534,-0.00054,0.0008418
-23.676,12.4957,-0.0002,0.000933,-28.2798,14.4687,-0.0006,0.0008977
-26.9643,13.811,-0.00016,0.001067,-30.2528,15.1264,-0.00051,0.000977
-34.8564,20.3877,-0.00014,0.001243,-36.8294,19.0724,-0.00044,0.0012077
-38.1447,21.0454,-0.00023,0.001499,-42.0908,23.6761,-0.00058,0.0013931
-48.6674,27.6221,-0.00032,0.001762,-49.3251,24.9914,-0.00079,0.0015511
-61.1631,34.1987,-0.00045,0.002287,-59.8478,31.5681,-0.00095,0.0018885
-88.7851,46.6944,-0.00077,0.003155,-84.8392,40.1178,-0.00123,0.0026486
-119.6951,61.8208,-0.00119,0.004182,-117.0649,59.1902,-0.00174,0.0039947
-160.4711,82.8662,-0.00166,0.005762,-162.4439,82.8662,-0.00218,0.0057246
-209.7961,107.2001,-0.0022,0.00776,-215.7149,105.8848,-0.0027,0.0077199
-266.3551,136.7951,-0.00265,0.009926,-272.2749,136.1368,-0.00345,0.0101155
-322.2571,168.3631,-0.00326,0.012204,-330.1489,165.7328,-0.00401,0.0126762
-386.7091,194.0121,-0.00391,0.01479,-391.9699,197.3008,-0.00467,0.0154494
-449.8451,226.8951,-0.00453,0.017602,-456.4219,231.4988,-0.00524,0.0183594
-524.8191,262.4091,-0.00525,0.020538,-526.1339,265.0398,-0.00597,0.0214689
-593.2161,301.2121,-0.00595,0.023694,-598.4779,298.5808,-0.00663,0.0247046
-669.5061,340.0141,-0.00677,0.027173,-680.6859,340.0148,-0.00736,0.0281348
-750.3991,378.1591,-0.00758,0.030765,-760.9219,382.1048,-0.00833,0.0317652
-833.9231,418.9341,-0.00854,0.034457,-844.4459,424.1958,-0.00924,0.035732
-914.8161,462.3401,-0.00955,0.038477,-929.9419,462.3408,-0.0104,0.0398868
