FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
0,0,0,0,0,0,0,0
14.4687,-1.97301,6E-05,7.7E-05,-1.3154,-1.31534,-0.00012,3.549E-05
46.6944,-5.91901,0.00059,0.001061,-2.6307,1.973,-4E-05,-1.5E-05
48.6674,-4.60368,0.00059,0.00114,-2.6307,0,-4E-05,4.57E-06
42.0908,-5.91901,0.00038,0.001076,-5.919,0,-0.00012,1.677E-05
45.3791,-5.91901,0.00044,0.001054,-6.5767,-0.657672,2E-05,3.737E-05
41.4331,-7.23435,0.00042,0.001067,-9.2074,1.31533,-1E-05,7.517E-05
40.7754,-5.91901,0.00042,0.001048,-9.2074,0.65766,-9E-05,9.87E-06
-26.3067,1.31533,-0.00012,0.000296,-9.2074,1.31533,-0.00014,0.00010377
-26.9644,3.94599,-0.00023,0.000402,-11.838,1.31533,-7E-05,7.507E-05
-46.6944,3.28829,-0.00044,0.000477,-21.0454,2.63067,-0.00014,0.00022157
-60.5054,9.86499,-0.00069,0.000483,-32.8834,3.946,-0.00026,0.00034347
-76.9475,8.54969,-0.00106,0.000486,-47.3521,5.91901,-0.00067,0.00046207
-96.0195,14.46869,-0.00149,0.000596,-59.1901,7.23434,-0.00066,0.00051137
-117.7225,14.46869,-0.00162,0.000627,-63.1361,7.89201,-0.00072,0.00056287
-126.2725,19.72999,-0.00177,0.000615,-67.0821,9.865,-0.0008,0.00054737
-135.4795,16.44169,-0.00181,0.000637,-96.0192,10.5227,-0.00092,0.00065347
-163.1015,22.36069,-0.00225,0.000731,-119.0382,15.1264,-0.00134,0.00086027
-185.4625,20.38769,-0.00247,0.000725,-138.1102,17.0994,-0.00157,0.0009137
-224.9225,28.27969,-0.00313,0.000852,-163.7592,20.3877,-0.00179,0.00112603
-245.9675,31.56809,-0.00361,0.000918,-204.5352,24.9914,-0.00226,0.00153004
-295.9505,36.82939,-0.00435,0.001235,-254.5172,32.8834,-0.00273,0.00192609
-391.9705,48.00979,-0.00567,0.001996,-330.1492,40.7754,-0.00357,0.00260542
-524.1615,65.10909,-0.00722,0.003242,-428.7992,52.6134,-0.00465,0.00350639
-694.4975,88.12749,-0.00943,0.004943,-575.4592,74.9741,-0.00635,0.00490287
-924.6805,115.74909,-0.01222,0.006936,-775.3902,97.3348,-0.00833,0.00700107
-1168.6765,147.31809,-0.01529,0.009248,-1011.4942,126.9301,-0.01093,0.00925577
-1433.0565,177.57009,-0.01918,0.012075,-1263.3842,157.1831,-0.01394,0.01193847
-1677.7065,211.11109,-0.02446,0.01567,-1516.5842,187.4351,-0.01841,0.01482917
-1888.8265,234.78709,-0.03176,0.020817,-1751.3742,220.9761,-0.02449,0.01875417
-2051.2665,257.14809,-0.04103,0.02811,-1946.6942,243.9951,-0.03292,0.02447297
-2170.9665,272.93209,-0.05159,0.036863,-2095.3342,258.4631,-0.04282,0.03204407
-2286.0565,286.08509,-0.06278,0.046647,-2227.5242,280.8241,-0.0542,0.04097547
