FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
-2372.2065,293.32009,-0.07434,0.057414,-2319.5942,292.0041,-0.06611,0.05101357
-2463.6265,308.44609,-0.08645,0.068399,-2407.7242,298.5811,-0.07815,0.06135897
-2549.1165,315.02309,-0.09861,0.079479,-2497.1642,308.4461,-0.09059,0.07216827
-2614.2265,329.49209,-0.11038,0.091372,-2580.0342,322.9151,-0.10344,0.08326407
-2692.4965,335.41109,-0.12274,0.103652,-2658.9542,331.4651,-0.11588,0.09476667
-2749.0565,346.59109,-0.13489,0.11587,-2720.7742,340.6721,-0.12853,0.10645347
-2819.4265,351.85209,-0.14738,0.128598,-2789.8242,347.2491,-0.14114,0.11821377
-2881.8965,360.40209,-0.15967,0.141467,-2838.4942,355.1411,-0.15381,0.13037607
-2938.4565,369.60909,-0.17205,0.154661,-2903.6042,362.3751,-0.16673,0.14296047
-2987.1265,370.26709,-0.18431,0.1679673,-2947.6642,368.9521,-0.17957,0.15535187
-3031.1865,381.44709,-0.1966,0.1814213,-3012.7742,375.5281,-0.19231,0.16816937
-3084.4665,382.76309,-0.20918,0.1954249,-3050.9242,380.1321,-0.20576,0.18112497
-3129.8365,393.94309,-0.22176,0.2094905,-3104.1942,388.0241,-0.21853,0.19461997
-3165.3565,393.28509,-0.23416,0.2236596,-3146.2842,390.6551,-0.2314,0.20812097
-3196.2665,405.78109,-0.24632,0.2378713,-3181.1442,396.5741,-0.24459,0.22179397
-3234.4065,401.17709,-0.25853,0.2520642,-3229.8042,401.8351,-0.25776,0.23568797
-3281.1065,411.04209,-0.27058,0.2661164,-3270.5842,407.0961,-0.27073,0.24946697
-3300.1765,417.61909,-0.28232,0.2798786,-3288.3442,413.0151,-0.28327,0.26300297
-3347.5265,413.01509,-0.29387,0.2938792,-3326.4842,414.9881,-0.29557,0.27645297
-3376.4665,423.53809,-0.3058,0.3080852,-3355.4242,420.2501,-0.3082,0.29005997
-3411.9765,419.59209,-0.31763,0.3221718,-3390.2742,427.4841,-0.32083,0.30378597
-3418.5565,436.03409,-0.32938,0.3364569,-3427.7642,422.2231,-0.33294,0.31747397
-3440.2565,431.43009,-0.34109,0.35036365,-3437.6342,432.7451,-0.34511,0.33102997
-3484.3265,432.74509,-0.35266,0.36468068,-3475.1142,430.1151,-0.35736,0.34479997
-3495.5065,432.08809,-0.36422,0.37903392,-3489.5842,436.6911,-0.36943,0.35860197
-3509.3165,445.89909,-0.37567,0.3932452,-3525.1042,439.3221,-0.38176,0.37228997
-3531.6765,445.24109,-0.3875,0.4075739,-3535.6242,447.2141,-0.39394,0.38625497
-3554.0365,452.47509,-0.39918,0.4221154,-3558.6442,448.5291,-0.40639,0.40029897
-3579.0265,456.42109,-0.41087,0.4366868,-3574.4242,449.1871,-0.41875,0.41446297
-3610.5965,445.24109,-0.42268,0.4513311,-3592.1842,452.4751,-0.43107,0.42857697
-3615.1965,459.71009,-0.43446,0.465994,-3612.5742,457.0791,-0.44318,0.44260897
-3624.4065,455.76409,-0.44613,0.4804799,-3632.3042,457.7371,-0.45568,0.45676597
-3644.1365,461.02509,-0.45759,0.4950065,-3663.2142,453.1331,-0.46792,0.47077897
-3661.2365,459.05209,-0.46928,0.509512,-3667.1542,458.3941,-0.48011,0.48484397
-3690.1765,455.76409,-0.48096,0.5240988,-3685.5742,461.6831,-0.49258,0.49911897
-3709.2465,457.07909,-0.49287,0.5387799,-3706.6142,461.6831,-0.5049,0.51329997
-3707.2765,464.31309,-0.50473,0.5534283,-3723.0542,462.3401,-0.51708,0.52746097
-3713.8465,468.91709,-0.51605,0.567704,-3733.5842,460.3671,-0.52935,0.54152897
-3726.3465,469.57509,-0.52788,0.582349,-3750.0242,465.6291,-0.54162,0.55565297
-3749.3665,467.60209,-0.53962,0.596871,-3746.0742,467.6021,-0.55377,0.56977797
-3757.2565,469.57509,-0.55136,0.61156,-3765.1442,469.5751,-0.56631,0.58406197
-3761.8565,466.94409,-0.56334,0.626494,-3772.3842,466.2861,-0.57872,0.59849297
-3764.4865,473.52109,-0.57542,0.641183,-3776.9842,472.8631,-0.59139,0.61282597
-3780.9365,471.54809,-0.58735,0.655961,-3780.2742,476.1511,-0.60391,0.62728497
-3786.1965,471.54809,-0.59947,0.670835,-3803.9542,470.2321,-0.61667,0.64170097
-3784.8765,474.17809,-0.61144,0.685652,-3796.7142,477.4671,-0.62924,0.65612097
-3786.1965,478.12409,-0.62377,0.700639,-3809.8742,476.8091,-0.64211,0.67077097
-3802.6365,474.83609,-0.63595,0.715451,-3828.2842,474.8361,-0.65473,0.68504397
-3804.6065,479.44009,-0.64822,0.730394,-3810.5242,477.4671,-0.66715,0.69953797
-3820.3965,474.83609,-0.66082,0.745543,-3825.6542,476.8091,-0.68058,0.71419697
-3811.8465,474.83609,-0.67322,0.760589,-3836.8342,478.7821,-0.69361,0.72887497
-3819.0765,479.44009,-0.68561,0.775379,-3827.6242,477.4671,-0.70638,0.74316897
-3821.0465,476.15109,-0.69806,0.790152,-3829.6042,480.0971,-0.71928,0.75752397
-3834.2065,480.09709,-0.71072,0.805162,-3853.2742,479.4401,-0.73241,0.77192697
-3766.4665,472.86309,-0.72533,0.821904,-3769.0942,470.8901,-0.74787,0.78845397
-3824.9965,478.78209,-0.73654,0.834996,-3742.7842,468.2591,-0.76137,0.80293697
-3738.1865,468.91709,-0.75167,0.852085,-3851.9642,481.4131,-0.77322,0.81531997
-3814.4765,478.12409,-0.7631,0.864875,-3751.9942,466.9441,-0.78832,0.83209697
-3828.2865,478.78209,-0.77534,0.879574,-3769.0942,470.8901,-0.8019,0.84584297
-3799.3465,474.83609,-0.78955,0.895623,-3848.6742,482.0701,-0.81408,0.85848097
-3824.9965,476.80909,-0.80323,0.910173,-3736.2142,467.6021,-0.83063,0.87597597
-3713.1965,464.97109,-0.81875,0.92764,-3652.0342,459.0521,-0.84659,0.89179697
-3677.0165,457.07909,-0.83387,0.943437,-3532.3342,439.9801,-0.86409,0.90972197
-3604.6765,450.50209,-0.84946,0.960084,-3677.6742,457.7371,-0.87573,0.92089597
-3677.6765,459.05209,-0.86266,0.973461,-3613.2242,450.5021,-0.89249,0.93657897
-3321.2265,414.33109,-0.88714,0.997505,-3232.4342,402.4931,-0.91853,0.96029797
