FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
-1873.0395,625.44176,-0.06865,0.0929167,-1830.94421,610.31577,-0.03872,0.089367
-1921.0495,640.56876,-0.07624,0.1035887,-1884.21421,628.73077,-0.04444,0.100747
-1967.7395,656.35276,-0.08377,0.1145667,-1933.54421,643.85677,-0.05028,0.11238
-2001.9395,668.19076,-0.0913,0.1257067,-1973.00421,659.64077,-0.05611,0.124103
-2046.6595,684.63276,-0.09892,0.1373897,-2017.72421,673.45177,-0.06235,0.136435
-2077.5695,698.44376,-0.10671,0.1491797,-2060.47421,687.92077,-0.06846,0.148825
-2109.7995,704.36276,-0.11445,0.1612527,-2097.96421,699.75877,-0.07472,0.161483
-2147.2895,716.20076,-0.1225,0.1735247,-2137.42421,713.56977,-0.0813,0.174373
-2182.7995,725.40776,-0.13023,0.1857147,-2170.30421,720.14677,-0.08758,0.187275
-2208.4495,735.27276,-0.13835,0.1982607,-2201.87421,733.95777,-0.09403,0.200245
-2234.0995,745.79576,-0.14647,0.2111387,-2228.17421,743.16477,-0.10074,0.213662
-2262.3795,753.68776,-0.15482,0.2241177,-2262.37421,755.00277,-0.10743,0.227141
-2291.9695,764.20976,-0.16307,0.2372317,-2291.31421,765.52577,-0.1143,0.240879
-2315.6495,771.44476,-0.17112,0.2503577,-2314.99421,773.41777,-0.12092,0.254559
-2338.6695,779.33676,-0.17936,0.2633817,-2342.61421,783.28277,-0.12776,0.268116
-2359.7095,786.57076,-0.18763,0.2769397,-2365.63421,790.51677,-0.13473,0.282118
-2384.6995,793.80476,-0.19628,0.2905907,-2388.65421,797.75077,-0.14176,0.296456
-2407.0595,801.03976,-0.20463,0.3040997,-2420.87421,804.32777,-0.14873,0.31049
-2421.5295,807.61576,-0.213,0.3176767,-2433.37421,812.21977,-0.15562,0.324586
-2441.9195,814.19276,-0.22156,0.3315657,-2454.41421,818.13877,-0.1628,0.33884
-2459.0195,819.45376,-0.2302,0.3453927,-2473.48421,824.05777,-0.16992,0.353247
-2477.4395,825.37276,-0.2387,0.3593447,-2493.87421,831.94977,-0.17708,0.367674
-2493.2195,830.63476,-0.24738,0.3732617,-2511.63421,833.92277,-0.18438,0.382199
-2510.3195,837.21176,-0.25603,0.3871847,-2532.67421,842.47277,-0.19153,0.396727
-2524.1295,841.15776,-0.2646,0.4012227,-2545.83421,849.70677,-0.19884,0.411315
-2536.6295,846.41876,-0.27333,0.4152877,-2564.90421,855.62577,-0.20618,0.426008
-2553.7195,850.36476,-0.28215,0.4295557,-2577.40421,860.88777,-0.21343,0.4406
-2566.8795,854.31076,-0.29095,0.4438977,-2589.89421,864.83377,-0.2209,0.455607
-2577.3995,858.25676,-0.29951,0.4577447,-2607.65421,870.75277,-0.22828,0.4701837
-2589.8995,864.83376,-0.30847,0.4720697,-2622.12421,875.35577,-0.23552,0.4847389
-2597.7895,866.14876,-0.31738,0.4865807,-2633.30421,879.30177,-0.24305,0.4997424
-2609.6295,870.09476,-0.3264,0.5009527,-2645.79421,883.90577,-0.2507,0.514723
-2621.4595,874.69876,-0.33528,0.5154607,-2660.26421,886.53677,-0.25818,0.5296965
-2633.2995,877.98676,-0.34455,0.5296727,-2668.15421,891.13977,-0.26578,0.544621
-2643.8295,879.95976,-0.35346,0.5442327,-2685.91421,895.08577,-0.27339,0.5595969
-2651.7195,881.93276,-0.36254,0.5587667,-2690.52421,897.71677,-0.28093,0.5746609
-2663.5595,884.56376,-0.37176,0.5732737,-2708.93421,902.32077,-0.2888,0.5898905
-2664.2095,888.50976,-0.38094,0.5877517,-2710.24421,904.95077,-0.29647,0.6049418
-2669.4695,891.13976,-0.39001,0.6022977,-2716.16421,907.58177,-0.30419,0.6200269
-2678.0195,893.11276,-0.39954,0.6170797,-2731.29421,910.86977,-0.31212,0.6353313
-2685.2595,897.05876,-0.40898,0.6320877,-2736.55421,911.52777,-0.32007,0.65081244
-2688.5495,897.05876,-0.41865,0.6471207,-2741.81421,914.81577,-0.3282,0.666499259
-2695.7795,902.32076,-0.42842,0.6623857,-2747.73421,920.07777,-0.33648,0.6823413
-2700.3795,900.34776,-0.43786,0.6771827,-2758.25421,922.05077,-0.34454,0.6978749
-2705.6495,901.66276,-0.44768,0.6921647,-2756.28421,922.70777,-0.35267,0.7133923
-2709.5895,906.26676,-0.45766,0.7072457,-2766.80421,925.99677,-0.36103,0.7291738
-2711.5695,906.26676,-0.46746,0.7223917,-2769.44421,927.96977,-0.36941,0.7449442
-2719.4595,906.26676,-0.47747,0.7375697,-2780.62421,926.65377,-0.37774,0.7607318
-2717.4795,908.23976,-0.48729,0.7525487,-2783.90421,933.88877,-0.38633,0.7764793
-2722.0895,909.55476,-0.49735,0.7677647,-2791.80421,931.25777,-0.39468,0.7921501
-2725.3795,909.55476,-0.50752,0.7829957,-2792.45421,933.88877,-0.40334,0.808029
-2729.9795,910.86976,-0.51795,0.7982377,-2795.08421,935.20377,-0.41197,0.8239239
-2729.9795,910.21276,-0.52813,0.8133787,-2803.63421,937.83477,-0.42082,0.8396609
-2733.2695,911.52776,-0.53862,0.8286597,-2803.63421,935.86177,-0.42956,0.8555964
-2734.5795,911.52776,-0.54889,0.8437107,-2809.55421,933.88877,-0.43843,0.871628
-2721.4295,906.92376,-0.5606,0.8600037,-2805.61421,937.83477,-0.44733,0.887482
-2734.5795,912.84276,-0.5707,0.8739497,-2812.84421,939.14977,-0.45637,0.903527
-2738.5295,912.18576,-0.58163,0.8892567,-2810.87421,941.12277,-0.4653,0.919519
-2737.2095,914.81576,-0.59176,0.9040717,-2810.87421,939.80777,-0.4743,0.93516
-2698.4095,899.03176,-0.60545,0.9217167,-2806.26421,937.83477,-0.48414,0.951306
-2693.8095,893.11276,-0.61696,0.9369397,-2764.17421,924.02377,-0.4953,0.969044
-2737.2095,914.15876,-0.62547,0.9493567,-2812.18421,939.14977,-0.50328,0.982702
-2707.6195,900.34776,-0.63814,0.9666547,-2818.76421,941.12277,-0.51248,0.998514
-2704.9895,903.63576,-0.6496,0.9815747,-2814.16421,940.46477,-0.52226,1.014543
-2703.6695,900.34776,-0.66127,0.9966987,-2795.08421,931.25777,-0.53372,1.032079
-2731.9495,912.18576,-0.6714,1.0102217,-2763.52421,924.68077,-0.54497,1.049554
-2739.8395,912.84276,-0.68303,1.0252607,-2807.58421,936.51877,-0.5532,1.063321
-2683.2895,895.74376,-0.6976,1.0435247,-2817.44421,938.49177,-0.56285,1.07855
,,,,-2754.97421,923.36577,-0.57527,1.097234
,,,,-2805.61421,936.51877,-0.5842,1.11118
,,,,-2807.58421,936.51877,-0.59481,1.126997
,,,,-2805.61421,939.80777,-0.60502,1.142732
,,,,-2781.93421,928.62677,-0.61683,1.160056
,,,,-2725.37421,909.55477,-0.6319,1.179807
