FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
0,0,0,0,0,0,0,0
-2.6307,1.97296,1E-05,0.0001804,-3.28831,-1.31533,0.00023,3.1E-05
-6.5767,-0.65766,0,0.0002499,-5.91901,0.65767,0.00012,8.2E-05
-9.2073,1.97296,-0.00013,0.000254,-6.57671,3.28834,8E-05,0.000133
-9.865,2.63066,-0.00024,0.000223,-11.18031,3.94601,0.00014,0.000144
-15.1263,3.94596,-7E-05,0.0003037,-11.18031,3.94601,0.00014,0.000213
-15.1263,4.60366,-0.00017,0.0003818,-13.81101,5.91901,-6E-05,0.000188
-15.784,4.60366,-0.00025,0.0004055,-14.46871,4.60368,0.00024,0.000223
-19.0724,4.60366,-0.0003,0.000359,-17.09941,5.91901,0.00025,0.000281
-21.0454,5.91906,-0.00046,0.0004322,-23.67601,9.86497,-0.00023,0.000307
-24.3337,9.86506,-0.00054,0.000493,-28.27971,7.89197,-0.00022,0.000389
-29.595,10.52266,-0.00058,0.0004833,-33.54101,13.81107,-0.00046,0.000607
-32.8834,15.12636,-0.00068,0.0006141,-41.43311,10.52267,-0.00026,0.000716
-39.4601,17.09936,-0.00082,0.000684,-44.06371,16.44167,-0.00035,0.000742
-45.3791,16.44166,-0.00088,0.0007569,-46.69441,16.44167,-0.00045,0.000742
-49.9827,16.44166,-0.00098,0.000809,-51.29811,17.75707,-0.00058,0.000835
-57.2171,19.07236,-0.00096,0.0009541,-61.82081,18.41467,-0.00054,0.00103
-63.7938,20.38766,-0.00103,0.0010609,-63.13611,21.04537,-0.00069,0.000956
-73.6588,24.33376,-0.00112,0.0011846,-71.02811,24.33367,-0.00091,0.001044
-102.5965,34.19876,-0.00165,0.0017077,-80.23551,26.96437,-0.00088,0.001112
-141.3985,45.37906,-0.00227,0.0026192,-99.96521,32.22577,-0.00126,0.001478
-195.3275,63.79376,-0.003,0.0038459,-132.19121,45.37907,-0.00155,0.002028
-260.4365,84.83916,-0.00384,0.0053286,-177.57021,60.50547,-0.00213,0.003069
-333.4375,110.48776,-0.00497,0.0072674,-237.41821,81.55087,-0.00266,0.004426
-416.3035,141.39876,-0.00616,0.009329,-305.15821,100.62277,-0.00327,0.006119
-503.1155,166.38976,-0.00757,0.0120215,-380.13221,129.56077,-0.00422,0.008107
-598.4775,199.93076,-0.00885,0.0142227,-465.62921,155.86777,-0.005,0.010401
-699.7585,232.81476,-0.01035,0.0168427,-554.41421,188.75077,-0.00596,0.013002
-803.0125,268.32876,-0.01224,0.0193117,-651.74921,217.68777,-0.00679,0.015916
-913.5005,305.81576,-0.0139,0.0221007,-757.63321,254.51777,-0.00758,0.018838
-1026.6195,343.96076,-0.01609,0.0248917,-864.17521,289.37377,-0.00853,0.021955
-1143.6795,380.78976,-0.01878,0.0279697,-976.63721,327.51877,-0.0095,0.025257
-1260.7495,422.22276,-0.02166,0.0318007,-1093.70421,366.97877,-0.01071,0.028952
-1371.2395,458.39476,-0.02558,0.0362837,-1218.00421,409.06977,-0.01217,0.033126
-1475.1495,494.56676,-0.03007,0.0416357,-1335.72421,444.58377,-0.01399,0.037993
-1564.5895,521.53076,-0.03536,0.0480987,-1449.50421,484.04377,-0.01659,0.044016
-1640.8795,547.17976,-0.04151,0.0555697,-1551.43421,517.58477,-0.01986,0.051113
-1708.6195,570.85576,-0.04781,0.0639377,-1631.67421,545.20677,-0.02377,0.059283
-1770.4395,590.58576,-0.05438,0.0729667,-1705.33421,569.54077,-0.02828,0.068584
-1825.0295,609.00076,-0.06159,0.0828067,-1770.44421,593.87377,-0.03341,0.078637
