F[Kn];delta_u 1+2
30.07686;0
51.28665;0.00095953
77.9222;0.00096904
102.25605;0.00099381
136.4545;0.00179409
172.2975;0.00194994
208.1405;0.00210579
251.5465;0.00278219
304.1595;0.00290693
363.35;0.00402083
426.815;0.00436353
493.568;0.00532006
566.898;0.00632515
645.161;0.01837097
725.3965;0.01656027
806.2895;0.00907177
889.8135;0.01017837
976.954;0.00978877
1061.465;0.01201387
1151.565;0.01255997
1241.34;0.01382007
1332.755;0.01719997
1426.47;0.01511587
1520.515;0.01703067
1617.195;0.01765567
1712.225;0.01934147
1811.865;0.02053597
1906.9;0.02019607
2002.92;0.04374447
2101.57;0.04220997
2197.915;0.02509007
2295.25;0.02592817
2389.955;0.02639217
2485.645;0.02746287
2576.405;0.02931147
2668.15;0.02973537
2755.62;0.03074697
2843.745;0.03174337
2931.54;0.03336437
3019.34;0.03352717
3107.47;0.03470387
3190.34;0.03573707
3275.835;0.03730257
3357.71;0.03831827
3442.22;0.03947347
3524.1;0.04095287
3602.035;0.04185787
3681.945;0.04381997
3759.545;0.04375687
3833.21;0.04807087
3905.22;0.04982897
3975.595;0.05582557
4040.375;0.05454807
4105.155;0.05720117
4166.315;0.06045257
4226.495;0.06329827
4284.04;0.06684857
4339.945;0.07034007
4395.515;0.07477007
4446.48;0.07822157
4496.465;0.08244157
4545.465;0.08630197
4593.47;0.09069147
4639.835;0.09492337
4682.59;0.10053747
4728.625;0.10417437
4770.715;0.10939397
4931.185;0.12982127
4970.315;0.13435537
5010.105;0.13895447
5043.975;0.14486887
5081.135;0.15088957
5116.98;0.15625342
5152.165;0.16053927
5185.375;0.16603507
5220.56;0.17162877
5253.115;0.17728877
5283.04;0.18283827
5319.21;0.18844237
5350.45;0.19421907
5379.715;0.19954887
5411.615;0.20434767
5439.235;0.21264167
5470.805;0.21765037
5500.5625;0.22331307
5530.32;0.22897577
5555.975;0.26459287
5585.57;0.26953237
5615.165;0.24756317
5642.46;0.25355207
5667.775;0.25889217
5694.085;0.26473497
5720.72;0.27141087
5747.685;0.27815057
5771.69;0.28458387
5796.355;0.29112987
5819.04;0.29685987
5845.02;0.30368657
5867.71;0.30966057
5891.385;0.31526577
5914.405;0.32311397
5939.39;0.32951557
5960.11;0.33648612
5980.83;0.34345667
6004.175;0.34951417
6025.875;0.35642707
6051.2;0.36271677
6070.27;0.36929437
6090.33;0.37593277
6109.075;0.38319897
6129.465;0.38968187
6148.865;0.39635177
6170.565;0.40353127
6187.335;0.41053047
6208.385;0.41769957
6225.81;0.45002187
6244.7175;0.45834387
6263.625;0.43925827
6283.685;0.44624597
6296.505;0.45497257
6317.555;0.46171217
6334.655;0.46773867
6351.755;0.47521187
6369.185;0.48214817
6382.335;0.48999267
6400.095;0.49703407
6413.905;0.50381657
6431.33;0.51151177
6443.825;0.51910017
6458.955;0.52635827
6473.09;0.53361527
6489.205;0.54088137
6502.69;0.54866187
6514.525;0.55271457
6528.665;0.56390127
6544.12;0.57100837
6555.3;0.57886987
6567.47;0.58698627
6582.265;0.59450337
6590.82;0.60215747
6603.6425;0.61010792
6616.465;0.61805837
6627.645;0.62624727
6639.485;0.63509147
6649.02;0.64297977
6659.875;0.65157962
6672.695;0.65978447
6683.215;0.66815857
6690.4525;0.67675779
6697.69;0.68535701
6709.525;0.69398162
6717.415;0.70184564
6725.635;0.71179138
6731.885;0.72130974
6740.11;0.72965441
6761.15;0.75873267
6765.095;0.76468787
6770.36;0.78127954
