F1_a(N);Delta_u13_a(mm);F2_a(N);Delta_u24_a(mm);F1_b(N);Delta_u13_b(mm);F2_b(N);Delta_u24_b(mm)
5236.35;0.12265447;-198.627;-0.072407166;5609.24;0.09952563;-11.8495;-0.05669333
5293.56;0.12811197;-201.258;-0.076012766;5675.01;0.10363813;-13.1648;-0.05915195
5343.55;0.13382027;-201.258;-0.079163866;5744.07;0.10768073;-12.5071;-0.06187895
5396.16;0.13939137;-198.627;-0.083079666;5808.52;0.11246073;-13.1648;-0.06470604
5450.09;0.14546327;-197.969;-0.086932766;5874.94;0.11764233;-12.5071;-0.06791157
5499.41;0.15179867;-200.6;-0.091308066;5934.79;0.12291133;-14.4801;-0.07110279
5550.71;0.15833417;-199.942;-0.095392766;6001.21;0.12810743;-11.1918;-0.07446714
5605.96;0.16464897;-202.573;-0.099373966;6063.69;0.13402623;-11.8495;-0.07774234
5653.97;0.17177877;-197.969;-0.103858766;6124.2;0.14010023;-12.5071;-0.08167974
5701.98;0.17874857;-199.942;-0.108275366;6186.68;0.14638543;-11.8495;-0.08542674
5748.67;0.18573577;-198.627;-0.113152966;6242.58;0.15283013;-10.5341;-0.08937524
5798.65;0.19297637;-199.942;-0.117411766;6305.72;0.15940243;-11.1918;-0.09362794
5846;0.20056307;-200.6;-0.122330166;6362.28;0.16590243;-13.1648;-0.09780024
5892.04;0.20814107;-199.285;-0.126887866;6418.84;0.17295403;-11.8495;-0.10151744
5936.11;0.21552217;-199.942;-0.131720066;6476.05;0.17994343;-10.5341;-0.10617344
5985.43;0.22359737;-198.627;-0.136342466;6528.67;0.18719373;-10.5341;-0.11075714
6032.78;0.23191197;-199.285;-0.141939366;6583.91;0.19481313;-11.8495;-0.11526474
6069.61;0.23974807;-199.942;-0.147210366;6633.89;0.20242303;-10.5341;-0.11962614
6116.96;0.24788997;-199.942;-0.152814666;6687.16;0.21012883;-11.1918;-0.12430954
6163;0.25669957;-201.915;-0.157752266;6738.46;0.21784513;-13.1648;-0.12921094
6204.43;0.26543167;-198.627;-0.162911666;6789.1;0.22564743;-13.8225;-0.13421324
6245.87;0.27404527;-201.258;-0.168612766;6839.74;0.23383663;-12.5071;-0.13912934
6287.96;0.28288727;-198.627;-0.174430266;6885.78;0.24168253;-13.1648;-0.14401964
6329.39;0.29173227;-201.915;-0.179762366;6938.4;0.25042333;-11.8495;-0.14924544
6371.48;0.30106327;-201.258;-0.185685166;6984.43;0.25934103;-13.1648;-0.15429984
6413.57;0.31061027;-199.285;-0.191680066;7032.44;0.26794403;-13.1648;-0.15953584
6455.67;0.31983627;-201.915;-0.197373666;7080.45;0.27642603;-13.1648;-0.16490594
6493.15;0.32915827;-198.627;-0.203154366;7127.15;0.28550503;-12.5071;-0.17045274
6531.95;0.33843527;-197.312;-0.209341066;7174.5;0.29522763;-11.1918;-0.17724464
6564.84;0.34782227;-199.942;-0.215281166;7219.88;0.30339803;-11.8495;-0.18163004
6604.3;0.35795227;-201.258;-0.221631066;7263.28;0.31318703;-12.5071;-0.18736374
6641.79;0.36807427;-198.627;-0.227674366;7308.66;0.32316203;-11.8495;-0.19353134
6681.9;0.37851627;-200.6;-0.234016766;7357.99;0.33292703;-11.8495;-0.19962704
6718.73;0.38863827;-200.6;-0.240467666;7399.42;0.34360503;-11.1918;-0.20579294
6753.59;0.39820127;-199.942;-0.247667166;7446.12;0.35352603;-9.87646;-0.21198494
6791.73;0.40829027;-200.6;-0.253659766;7490.84;0.36405203;-13.1648;-0.21815714
6822.64;0.41938427;-197.312;-0.260629566;7535.56;0.37426003;-11.8495;-0.22460644
6857.5;0.42976127;-197.312;-0.266655466;7573.7;0.38503003;-11.1918;-0.23090824
6893.67;0.44004727;-200.6;-0.273555466;7615.8;0.39548703;-13.8225;-0.23784084
6930.5;0.45106527;-199.942;-0.280995466;7656.57;0.40606203;-11.1918;-0.24461784
6960.1;0.46198727;-200.6;-0.288190466;7700.64;0.41743003;-15.1378;-0.25118714
6995.61;0.47297827;-200.6;-0.294734466;7739.44;0.42885303;-11.1918;-0.25775194
7026.52;0.48461527;-198.627;-0.301745466;7778.9;0.43951603;-12.5071;-0.26464094
7057.43;0.49592427;-199.942;-0.309518466;7817.7;0.45080603;-10.5341;-0.27134884
7091.63;0.50731427;-200.6;-0.315816466;7856.5;0.46183603;-12.5071;-0.27856814
7119.91;0.51874927;-203.888;-0.323875466;7895.96;0.47339603;-8.56112;-0.28512314
7151.48;0.53078627;-201.258;-0.330974466;7931.48;0.48461103;-10.5341;-0.29220814
7183.71;0.54168627;-201.915;-0.337924466;7963.7;0.49632503;-9.87646;-0.29925714
7208.7;0.55353427;-201.258;-0.345212466;8003.16;0.50781603;-9;-0.30657514
7242.24;0.56473527;-197.969;-0.352835466;8042.62;0.51975303;-13;-0.31345214
7269.2;0.57638027;-198.627;-0.360328466;8071.56;0.53171503;-12;-0.31985814
7296.17;0.58849727;-199.285;-0.367745466;8108.39;0.54218103;-10;-0.32718514
7325.11;0.60007127;-197.969;-0.375715466;8140.62;0.55387403;-11;-0.33489914
7350.75;0.61293527;-199.285;-0.383491466;8173.5;0.56510303;-12;-0.34219114
7381.01;0.62487927;-200.6;-0.391727466;8203.75;0.57709903;-9.87646;-0.34898914
7406.66;0.63714727;-198.627;-0.399419466;8235.32;0.58965003;-13.1648;-0.35636314
7432.31;0.64983727;-198.627;-0.407271466;8266.23;0.60189603;-12.5071;-0.36385914
7454.67;0.66175327;-199.285;-0.415249466;8295.17;0.61405703;-12.5071;-0.37148914
7482.95;0.67441327;-197.312;-0.422820466;8326.08;0.62613503;-12.5071;-0.37931714
7505.31;0.68680127;-200.6;-0.431236466;8355.68;0.63847303;-9.87646;-0.38707114
7530.3;0.69893227;-198.627;-0.439123466;8387.24;0.65075103;-10.5341;-0.39411714
7556.61;0.71185027;-199.942;-0.447240466;8413.55;0.66324303;-12.5071;-0.40169314
7577.65;0.72473027;-199.942;-0.456157466;8447.09;0.67543803;-10.5341;-0.40950414
7600.01;0.73769727;-200.6;-0.462727466;8470.77;0.68801903;-13.8225;-0.41769914
7621.71;0.74975727;-197.969;-0.473166466;8501.68;0.70051503;-13.1648;-0.42546614
7642.1;0.76333227;-197.969;-0.480437466;8528.64;0.71329003;-13.8225;-0.43334014
7664.46;0.77666527;-199.285;-0.488976466;8551.66;0.72618103;-12.5071;-0.44098814
7684.85;0.78953127;-199.942;-0.497101466;8577.31;0.73867703;-11.1918;-0.44921814
7707.87;0.80252327;-199.942;-0.506699466;8602.3;0.75137903;-10.5341;-0.45739314
7733.52;0.81563827;-197.312;-0.515125466;8625.98;0.76404603;-11.8495;-0.46522314
7749.3;0.82960827;-199.942;-0.523894466;8654.26;0.77699003;-11.1918;-0.47292914
7764.43;0.84258227;-201.258;-0.532530466;8672.67;0.78997503;-10.5341;-0.48134014
7784.16;0.85653127;-200.6;-0.541810466;8698.98;0.80296503;-12.5071;-0.48914114
7799.94;0.86988627;-199.942;-0.550414466;8727.92;0.81597903;-13.8225;-0.49769814
7818.36;0.88345327;-200.6;-0.559070466;8745.68;0.82875603;-11.1918;-0.50583514
7841.38;0.89739527;-201.915;-0.568421466;8764.75;0.84188403;-11.1918;-0.51420114
7853.87;0.91099927;-198.627;-0.578020466;8792.37;0.85530503;-11.8495;-0.52263314
7866.37;0.92520827;-199.942;-0.587082466;8808.81;0.86857403;-11.8495;-0.53140314
7884.13;0.93868027;-197.312;-0.596849466;8829.2;0.88182903;-9.87646;-0.53972814
7897.94;0.95347927;-201.915;-0.606159466;8852.88;0.89531003;-11.8495;-0.54802114
7913.06;0.96702327;-199.285;-0.615696466;8871.29;0.90878703;-10.5341;-0.55663614
7926.22;0.98176127;-200.6;-0.625093466;8889.7;0.92236903;-11.8495;-0.56548414
7940.03;0.99589727;-199.285;-0.634760466;8911.41;0.93609303;-9.21879;-0.57439114
7954.5;1.01029527;-202.573;-0.644659466;8899.57;0.94775603;-9.87646;-0.58191614
7963.7;1.02499427;-199.942;-0.654345466;8951.53;0.95860003;-9.87646;-0.58852514
7969.62;1.03935127;-200.6;-0.664548466;8970.6;0.97204603;-12.5071;-0.59723914
7980.8;1.05475127;-197.969;-0.675074466;8972.57;0.98716103;-10.5341;-0.60741314
7980.8;1.07025527;-199.942;-0.685241466;8987.04;1.00109303;-11.8495;-0.61665714
;;;;9008.09;1.01474803;-13.1648;-0.62525814
;;;;9025.19;1.02841503;-12.5071;-0.63437214
;;;;9042.94;1.04266103;-9.21879;-0.64371914
;;;;9052.15;1.05683203;-11.1918;-0.65259614
;;;;9066.62;1.07102503;-5.93045;-0.66196614
;;;;9083.06;1.08494403;-13.8225;-0.67109514
;;;;9094.9;1.09921303;-11.1918;-0.68077314
;;;;9102.13;1.11351603;-13.1648;-0.69019514
;;;;9117.26;1.12808703;-11.8495;-0.69970414
;;;;9125.81;1.14252003;-14.4801;-0.70959314
;;;;9137.65;1.15731203;-10.5341;-0.71918714
;;;;9146.2;1.17182403;-14.4801;-0.72878114
;;;;9158.69;1.18624803;-10.5341;-0.73887014
;;;;9161.98;1.20110703;-11.1918;-0.74923614
;;;;9175.13;1.21597703;-11.1918;-0.75889914
;;;;9178.42;1.23126703;-13.8225;-0.76961014
;;;;9176.45;1.24659603;-10.5341;-0.78040314
