FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
0,0,0,0,0,0,0,0
0,-1.973,5E-05,2.51E-05,0,-1.315332,-7E-05,-4.33E-05
3.2884,-1.973,0.00012,-3.04E-05,-0.6576,1.973008,-8E-05,2.94E-05
5.2614,-0.65767,1E-05,0.000121,-3.2883,2.630668,-1E-04,4.47E-05
-1.3153,-2.63067,-1E-05,0.0002245,-5.2613,1.315336,-2E-05,0.00021
-2.6306,-0.65767,6E-05,0.0002116,-5.919,5.261348,-3E-05,0.0003553
-3.946,2.63067,3E-05,0.0002702,-5.919,7.892018,-0.00012,0.0004749
-1.3153,3.28834,-2E-05,0.0003242,-9.2073,8.549688,-0.00016,0.0005818
-2.6306,1.31534,7E-05,0.0003415,-10.5226,11.180308,-0.00015,0.0007805
-3.2883,1.31534,8E-05,0.0003679,-13.1533,12.495708,-0.00014,0.0009288
-7.2343,5.26136,-1E-05,0.0005917,-15.784,15.784008,-0.00017,0.0011136
-5.919,9.20736,-7E-05,0.0006513,-17.0993,17.099408,-0.00014,0.0012659
-8.5496,3.28834,-0.00015,0.0007147,-20.3877,15.126408,-0.00019,0.0014699
-10.5226,5.91896,-0.00016,0.0008402,-19.0723,17.757008,-0.00022,0.0015152
-12.4956,12.49566,-0.00013,0.0010191,-19.73,19.072408,-0.00025,0.0015709
-15.1263,15.78406,-0.00027,0.0012905,-19.73,21.703008,-0.0004,0.001667
-17.757,15.12636,-9E-05,0.00134505,-22.3607,22.360708,-0.00039,0.0017195
-20.3877,19.07236,-0.00032,0.00143087,-23.676,25.649008,-0.00041,0.0018458
-20.3877,19.73006,-0.00031,0.00155312,-26.9643,26.306708,-0.00039,0.0019409
-21.0453,22.36066,-0.00031,0.00177355,-30.9104,28.937408,-0.00055,0.0022223
-29.595,26.96436,-0.00025,0.001987437,-36.8294,36.171708,-0.00059,0.0025657
-29.595,30.25276,-0.00046,0.0022238,-42.0907,45.379108,-0.0007,0.0031517
-37.487,36.82936,-0.00046,0.00273106,-56.5594,57.217108,-0.00099,0.0041605
-44.7214,45.37906,-0.00053,0.00334443,-67.0821,69.712808,-0.00128,0.0051305
-57.8751,54.58646,-0.00067,0.00423046,-86.8121,90.758208,-0.00157,0.0066514
-74.3161,73.65876,-0.00082,0.0054171,-111.1455,115.092108,-0.00193,0.0085702
-94.7041,92.73116,-0.00102,0.00708898,-140.7405,139.425108,-0.00232,0.0106969
-121.0111,119.69576,-0.00127,0.00913725,-169.0205,169.678108,-0.00285,0.0130755
-149.2901,151.26376,-0.00142,0.011341249,-201.9045,201.904108,-0.00337,0.0156441
-182.1741,181.51676,-0.00179,0.01376736,-237.4185,238.733108,-0.00394,0.0183849
