F[Kn];delta_u 1+2
16.7591;0
41.4216;0.00113157
63.78235;0.00067038
92.3909;0.00143012
124.9455;0.00249737
167.036;0.00224693
212.744;0.002627031
263.3845;0.00360643
322.904;0.00349193
385.053;0.00429012
454.108;0.00605776
525.4655;0.00710228
605.043;0.00759329
684.9495;0.00871032
771.762;0.0104231
859.561;0.01266714
946.373;0.01212774
1039.105;0.01355186
1130.85;0.01457404
1224.235;0.01573173
1319.27;0.01691994
1415.29;0.01813391
1514.595;0.01993528
1613.575;0.02148734
1712.885;0.02298935
1811.86;0.02350121
1910.185;0.02622451
2012.125;0.0277957
2112.745;0.03058126
2213.7;0.0324914
2316.625;0.03577754
2420.535;0.03762838
2520.17;0.04060977
2615.535;0.043033388
2709.585;0.04507122
2801.325;0.048583502
2889.455;0.04903449
2974.29;0.05251871
3055.515;0.05419487
3134.765;0.05660751
3209.08;0.05979651
3284.055;0.06310437
3353.44;0.06458345
3419.86;0.06755411
3484.315;0.07039941
3545.805;0.07377697
3602.695;0.07657467
3661.23;0.08033984
3712.525;0.08293399
3762.51;0.08630219
3815.45;0.08988759
3864.45;0.09331509
3911.8;0.09726849
3957.835;0.10198969
4002.89;0.10491279
4046.95;0.10863719
4091.015;0.11230239
4130.805;0.11686519
4171.91;0.12152419
4212.025;0.12493729
4251.81;0.13002459
4288.97;0.13388479
4326.135;0.13825139
4361.315;0.14168259
4398.145;0.14867879
4434.32;0.15096129
4468.845;0.15567499
4501.73;0.16073199
4535.6;0.16490299
4567.495;0.16983149
4601.37;0.17375029
4631.62;0.17932929
4661.87;0.18424919
4694.425;0.18832189
4725.005;0.19418129
4756.905;0.19790369
4784.195;0.20354119
4809.845;0.20752019
4838.125;0.21301719
4867.065;0.21836679
4895.675;0.22275859
4922.305;0.22733759
4949.93;0.23256419
4974.265;0.23778939
5001.555;0.24228369
5024.25;0.24744429
5051.865;0.25318549
5078.505;0.25760579
5101.85;0.26291529
5127.175;0.26873479
5147.89;0.27272609
5172.88;0.27839059
5195.57;0.28313709
5218.92;0.28839039
5242.265;0.29343889
5261.995;0.29860209
5285.015;0.30372099
5308.03;0.30911789
5326.12;0.31350469
5347.825;0.31860949
5367.88;0.32277949
5387.935;0.32872079
5407.67;0.33286119
5428.055;0.33932769
5445.485;0.34469709
5466.53;0.34981049
5485.93;0.35491129
5505.33;0.36060409
5524.075;0.36636299
5543.805;0.37195229
5562.22;0.37621399
5579.32;0.38286199
5594.775;0.38801139
5612.53;0.39291569
5630.285;0.39992209
5647.39;0.40503649
5665.145;0.41003059
5680.93;0.41552419
5696.715;0.42222989
5710.195;0.42740119
5727.625;0.43317349
5743.735;0.43853909
5759.195;0.44392929
5776.62;0.45138719
5789.775;0.45602479
5804.9;0.46153019
5815.425;0.46678789
5830.88;0.47239459
5845.345;0.47807859
5858.83;0.48460239
5872.31;0.49080759
5888.095;0.49643559
5897.635;0.50231979
5910.13;0.50857759
5921.965;0.51312179
5934.13;0.51980129
5947.285;0.52527859
5959.78;0.53131989
5969.645;0.53678779
5980.165;0.54295779
5990.365;0.54919609
6001.215;0.55489739
6010.095;0.56069059
6020.615;0.56743329
6030.81;0.57201119
6038.705;0.57806779
6048.895;0.58435009
6057.12;0.59004499
6066.325;0.59653149
6074.545;0.60225969
6081.45;0.60899319
6089.67;0.61496589
6095.915;0.62012019
6102.495;0.62663829
6107.755;0.63278589
6114.335;0.63913879
6119.925;0.64592019
6127.16;0.65035149
6131.105;0.65717519
6136.035;0.66315759
6139.985;0.66870719
6146.89;0.67384909
6150.835;0.68095559
6155.11;0.68725799
6157.085;0.69180519
6146.56;0.69702079
6102.495;0.70134259
6111.045;0.70606479
6108.085;0.71250879
6110.715;0.71892509
6110.39;0.72538729
6108.085;0.73054769
6104.14;0.73604199
6099.21;0.74188469
6090.33;0.74850769
6081.45;0.75292559
6061.395;0.76058969
6044.62;0.76800049
4142.97;0.79334459
4149.875;0.79280599
4152.835;0.79282959
4152.835;0.79243859
4153.165;0.79329359
2150.235;0.79668139
2153.85;0.79580379
2125.9;0.79547619
2119.655;0.79475179
2072.955;0.79474009
