F[Kn];delta_u 1+2
5.90757;0
24.97995;0.000809384
47.66945;0.00083339
72.6609;0.001406474
99.62535;0.00181369
128.8915;0.00185444
163.748;0.002657408
200.5775;0.002937487
243.9835;0.00283086
293.637;0.00420292
349.868;0.00425111
409.716;0.004836613
473.838;0.005719859
542.8935;0.006521413
615.237;0.00725653
;-0.00049938
767.487;0.0092645
846.0785;0.00999452
927.6295;0.01069292
1017.075;0.01130231
1103.225;0.01241262
1191.685;0.01367317
1281.455;0.01391331
1369.91;0.01478334
1464.615;0.01547753
1556.69;0.01610583
1649.42;0.01675665
1743.465;0.01719518
1835.865;0.01848027
1931.885;0.01868562
2026.92;0.01974028
2118.335;0.02018819
2212.385;0.02168827
2306.43;0.0219284
2396.535;0.02349745
2489.26;0.02400141
2572.785;0.0246908
2655.98;0.02680028
2741.15;0.02794209
;-0.00049938
2894.385;0.03185217
2967.715;0.03450062
3036.115;0.03657701
3101.55;0.03933747
3164.36;0.04274661
3221.575;0.04629902
3275.505;0.04913907
3329.435;0.05265632
3380.405;0.05771507
3428.745;0.06101492
3475.435;0.06547532
3517.53;0.06976622
3560.605;0.07382962
3604.34;0.07912342
3645.44;0.08385202
3684.905;0.08834142
3722.39;0.09337134
3761.19;0.09915552
3795.72;0.10463262
3833.54;0.10897162
3866.09;0.11490212
3899.63;0.12032982
3932.19;0.12553632
3965.73;0.12928112
3996.64;0.13544972
4027.88;0.14114292
4056.82;0.14728362
4087.73;0.15241372
4115.68;0.15765722
4145.6;0.16323612
4172.24;0.17043672
4201.175;0.17434942
4225.18;0.18075162
4253.46;0.18705322
4278.125;0.19313622
4302.125;0.19924012
4328.1;0.20474532
4353.095;0.21135082
4374.795;0.21754242
4397.49;0.22370402
4417.55;0.22960872
4441.225;0.23658142
4464.895;0.24276322
4483.97;0.24872722
4503.7;0.25495942
4523.435;0.26190272
4544.475;0.26684582
4562.565;0.27443572
4582.95;0.28095342
4600.38;0.28754442
4619.45;0.29391362
4634.905;0.30151672
4652.995;0.30778902
4673.055;0.31338252
4689.49;0.32071212
4704.95;0.32809382
4720.405;0.33440862
4737.175;0.34115192
4748.685;0.34802432
4764.47;0.35531652
4780.25;0.36179822
4794.72;0.36675252
4808.53;0.37557772
4819.71;0.38262932
4833.195;0.38945572
4845.03;0.39724402
;-0.00049938
4870.025;0.41188632
4880.875;0.41878242
4892.055;0.42675132
4903.235;0.43385302
4913.1;0.44193342
4924.61;0.44956892
4933.16;0.45750682
4943.68;0.46441372
4952.56;0.47253442
4959.795;0.48034412
4967.69;0.49006962
4976.235;0.49678012
4985.775;0.50522912
4990.045;0.51263742
4997.94;0.52149252
5002.545;0.53016822
5009.45;0.53958612
5015.37;0.54789072
5020.3;0.55786212
5022.605;0.56754692
5026.22;0.57685522
5028.52;0.58757242
5029.84;0.59924902
5030.825;0.61046612
5026.22;0.62311982
