F[Kn];delta_u 1+2
4.921045;0
24.97995;0.000842397
47.9983;0.001649493
73.31855;0.00109538
99.9542;0.00175622
138.4275;0.00254286
176.901;0.00214909
221.9515;0.00336487
273.9075;0.00371038
331.1245;0.00386366
391.959;0.00410286
456.0815;0.00606458
524.4785;0.00696161
597.8085;0.00681724
676.0715;0.00882206
754.9915;0.00784544
836.871;0.01025484
920.066;0.01105364
1008.8495;0.01279891
1099.28;0.01300864
1191.355;0.01439409
1282.77;0.01556764
1377.475;0.01661664
1468.89;0.01810854
1563.595;0.01920947
1663.23;0.01871137
1761.555;0.0217715
1863.49;0.02342276
1965.76;0.02433781
2065.065;0.02527554
2167.66;0.0259932
2271.9;0.02737535
2374.83;0.02871757
2476.11;0.029665
2574.76;0.03092674
2674.065;0.03277288
2771.075;0.03394514
2866.435;0.03567054
2957.52;0.03675222
3051.9;0.03808481
3143.315;0.03930244
3234.4;0.04016054
3321.215;0.04037844
3410.325;0.04275218
3494.51;0.04411044
3579.35;0.04562434
3660.57;0.04734834
3741.135;0.04893204
3821.04;0.05010084
3898.975;0.05219874
3974.94;0.05339154
4046.95;0.05664854
4117.975;0.05792954
4187.365;0.06050764
4251.815;0.06214644
4316.27;0.06578954
4377.1;0.06780354
4439.58;0.07138014
4494.165;0.07496064
4550.395;0.07713674
4603.665;0.08000984
4655.625;0.08373484
4705.605;0.08686414
4755.26;0.09070194
4802.61;0.09407394
4847.99;0.09756444
4895.015;0.10117684
4939.08;0.10546734
4984.125;0.11040744
5023.26;0.11346454
5066.665;0.11670654
5109.74;0.12147304
5147.89;0.12597844
5187.675;0.12963684
5227.47;0.13470664
5267.585;0.13910004
5305.725;0.14318524
5344.53;0.14818124
5380.375;0.15275184
5415.56;0.15785994
5452.06;0.16121204
5485.93;0.16590084
5520.785;0.17022914
5554;0.17582444
5584.91;0.18029554
5619.765;0.18594194
5650.675;0.18993184
5681.255;0.19473134
5710.855;0.19994814
5742.75;0.20451234
5774.645;0.20958074
5806.545;0.21577704
5831.21;0.22053174
5862.775;0.22365684
5893.36;0.23023914
5922.295;0.23520464
5948.6;0.24076464
5978.2;0.24572434
6006.475;0.25117094
6032.125;0.25680194
6059.42;0.26211834
6083.75;0.26735414
6113.02;0.27147644
6139.655;0.27813784
6164.32;0.28379684
6190.295;0.29023544
6217.585;0.29454564
6241.59;0.29997764
6265.265;0.30693574
6289.275;0.31173214
6312.29;0.31688974
6337.61;0.32304884
6363.265;0.32915924
6383.65;0.33472514
6404.04;0.34038924
6427.385;0.34632144
6453.035;0.35189324
6473.75;0.35710844
6495.125;0.36332984
6515.84;0.36865764
6537.875;0.37530254
6557.6;0.38127654
6577.33;0.38588274
6597.72;0.39229084
6620.08;0.39741624
6640.795;0.40384484
6656.255;0.40967524
6676.64;0.41601524
6698.345;0.42198134
6715.445;0.42790624
6733.86;0.43337924
6752.605;0.43921504
6771.345;0.44588344
6788.775;0.45148414
6808.175;0.45771684
6821.985;0.46406634
6840.075;0.47007864
6858.82;0.47607984
6875.26;0.48241064
6892.69;0.48927404
6909.125;0.49444824
6924.58;0.50045134
6941.355;0.50667994
6958.785;0.51275214
6975.225;0.51930354
6987.06;0.52596354
7003.505;0.53041144
7022.245;0.53746974
7036.385;0.54313354
7049.54;0.54988364
7064.01;0.55564554
7077.82;0.56238184
7092.29;0.56886624
7104.785;0.57499384
7119.91;0.58134554
7131.745;0.58797224
7146.215;0.59391414
7160.685;0.60050014
7171.54;0.60644094
7183.38;0.61285194
7196.855;0.61904734
7207.055;0.62546294
7218.56;0.63132844
7233.03;0.63786174
7246.185;0.64401424
7257.695;0.65067814
7268.875;0.65649154
7279.725;0.66340104
7289.59;0.66984084
7300.115;0.67640064
7313.595;0.68251144
7321.16;0.68935344
7330.695;0.69597394
7344.18;0.70125864
7353.055;0.70823724
7362.595;0.71450144
7371.47;0.72089004
7381.335;0.72788674
7390.54;0.73208234
7400.405;0.74000644
7408.96;0.74821474
7417.18;0.75262864
7424.415;0.75971784
7434.61;0.76605354
7442.5;0.77188944
7452.035;0.77882724
7460.585;0.78410424
7465.845;0.79089994
7477.03;0.79675074
7480.645;0.80356164
7489.52;0.81186864
7498.73;0.81735854
7504.98;0.82503604
