F[N];delta_u 1+2
5875.27;0.01116679
5942.68;0.01115129
6003.515;0.01141519
6066.985;0.01162549
6128.475;0.01295159
6189.965;0.01193089
6256.395;0.01239519
6324.13;0.01259919
6381.02;0.01213749
6448.76;0.01195039
6507.95;0.01232449
6569.77;0.01258099
6642.445;0.01262649
6706.24;0.01314669
6769.375;0.01316289
6836.785;0.01327479
6900.25;0.01314839
6966.015;0.01358189
7032.11;0.01357259
7097.225;0.01379599
7165.62;0.01417109
7234.02;0.01472899
7303.4;0.01415639
7373.115;0.01460319
7442.825;0.01480649
7509.58;0.01481639
7581.27;0.01540209
7648.02;0.01553329
7714.445;0.01578729
7784.16;0.01616269
7852.555;0.01651939
7918.985;0.01637369
7991.655;0.01668149
8058.41;0.01709729
8131.735;0.01681499
8195.86;0.01732309
8263.6;0.01761889
8328.385;0.01796259
8399.41;0.01832789
8464.52;0.01893209
8532.26;0.01891769
8600.66;0.01896299
8671.355;0.01846219
8738.11;0.01862379
8807.825;0.01866889
8874.25;0.01795099
8943.63;0.01909629
9006.445;0.01982609
9077.47;0.02103489
9141.92;0.02170129
9207.035;0.02170499
9273.13;0.02259399
9338.235;0.02182489
9405.32;0.02140959
9476.02;0.02117069
9537.51;0.02398519
9605.58;0.02307109
9671.675;0.02340319
9728.24;0.02355779
9800.58;0.02401509
9864.375;0.02566759
9932.12;0.02465229
9994.9;0.02526749
10061.35;0.02572659
10119.55;0.02641849
10185.35;0.02618389
10244.85;0.02754329
10308;0.02798259
10369.15;0.02861039
10434.95;0.02894239
10488.8;0.03040479
10558.85;0.03037499
10615.4;0.03071909
10673.3;0.03114429
10731.55;0.03184759
10794.95;0.03283839
10852.85;0.03348567
10913.65;0.03413115
10969.9;0.03591086
11022.2;0.03603924
11079.75;0.03655577
11134.65;0.03693718
11186.3;0.03762209
11244.85;0.03843234
11296.15;0.04018448
11353.05;0.03879378
11400.4;0.040574614
11452;0.04097541
11501.3;0.04372191
11548.65;0.04369075
11598.3;0.04502213
11652.6;0.04563051
11700.55;0.04654118
11748.6;0.0479046
11793.65;0.04817472
11841.35;0.05052702
11881.45;0.05238279
11934.1;0.05169956
11975.85;0.05314359
12024.2;0.05506839
12065.9;0.05587119
12112.65;0.05767579
12150.75;0.05891009
12192.5;0.06042569
12239.9;0.05968909
12277.7;0.06326489
12318.15;0.06476109
12366.15;0.06624969
12404.65;0.06819979
12438.15;0.06915919
12484.2;0.07179309
12521.375;0.07263619
12558.55;0.07347929
12592.4;0.07456759
12638.75;0.07684729
12669.35;0.07853919
12707.8;0.07903319
12741.7;0.08165829
12778.9;0.08367679
12809.8;0.08576539
12844.3;0.08675609
12884.4;0.08846109
12910.05;0.09069289
12942.95;0.09234799
12982.4;0.09384269
13011.7;0.09571239
13043.25;0.09765809
13083.7;0.09986769
13107.7;0.10096169
13139.25;0.10315669
13173.1;0.10481449
13198.45;0.10648819
13223.75;0.10883659
13254.7;0.11010579
13289.55;0.11138549
13316.8;0.11482009
13346.75;0.11596979
13370.75;0.11850829
13398.4;0.12025199
13422.05;0.12290479
13449.05;0.12481449
13470.4;0.12602589
13493.75;0.12807309
13518.75;0.12987509
13547.35;0.13249869
13572;0.13463379
13593.7;0.13835379
13611.8;0.13954959
13625.95;0.14093419
13650.3;0.14283819
13679.85;0.14545509
13692.35;0.14709269
13712.8;0.14908519
13729.2;0.15124269
13745;0.15345209
13755.8;0.15508119
13773.6;0.15738459
13781.15;0.16008679
13788.4;0.16210149
