F[N];delta_u 1+2
3.934575;0
11.8266;-0.00151342
23.3358;-0.00122897
33.85845;-0.00172085
47.01185;-0.0015371
60.82285;-0.002038561
76.278;-0.00103865
83.84125;-0.00081872
101.5982;-0.00141911
119.684;-0.00082122
137.7695;-0.00115187
155.198;-0.00306644
174.5995;-0.00096037
198.2755;-0.001118457
222.938;-0.000543271
251.5465;-0.00061665
281.47;-0.000757491
311.0655;0.000208829
344.6065;-0.00038508
375.188;-0.00054985
414.648;-0.000552186
448.518;-0.000225753
482.717;-0.000261147
521.519;0.000035243
562.2945;0.000079359
596.822;0.00090841
645.1605;0.0007039
686.923;0.00010186
730.329;4.84069E-05
779.325;-1.311E-05
829.308;0.00016926
878.633;0.00070073
929.931;-0.0001091
981.229;0.00056842
1035.815;-0.00055412
1092.7;0.00094927
1148.28;0.00042743
1205.165;0.0011481
1263.04;0.00117235
1322.23;0.00134662
1377.145;0.00148271
1437.65;0.00156581
1494.865;0.00174967
1553.075;0.00099559
1619.165;0.00126573
1673.425;0.00191303
1733.93;0.00116275
1796.405;0.00240549
1855.595;0.00208517
1916.765;0.00172266
1981.215;0.00261015
2038.43;0.00347941
2102.555;0.00184016
2164.375;0.00260638
2225.865;0.00350768
2289.99;0.00287717
2353.455;0.00397544
2415.605;0.00377181
2473.81;0.00410022
2534.645;0.00351747
2591.53;0.00343387
2646.115;0.00411298
2702.35;0.004318
2755.615;0.00433039
2814.805;0.00399729
2863.805;0.00417442
2913.785;0.00417699
2966.725;0.00438249
3016.715;0.00412239
3071.3;0.00463989
3118.325;0.00465099
3170.605;0.00453339
3219.6;0.00499639
3272.875;0.00473639
3323.84;0.00438279
3373.825;0.00512209
3425.45;0.00555769
3479.38;0.00514399
3526.405;0.00573219
3580.665;0.00666509
3633.605;0.00575719
3683.92;0.00607159
3736.53;0.00704189
3789.14;0.00685039
3842.415;0.00612709
3894.045;0.00646879
3948.63;0.00640799
4001.575;0.00790769
4053.525;0.00822679
4105.48;0.00801739
4158.095;0.00807449
4212.025;0.00664299
4265.625;0.00824409
4320.54;0.00787649
4377.43;0.00797539
4429.055;0.00814939
4481.67;0.00808979
4537.9;0.00790159
4591.83;0.00863169
4647.405;0.00854269
4705.61;0.00945219
4758.875;0.00987039
4817.41;0.00927509
4871.01;0.00807479
4928.885;0.00984949
4988.735;0.00900559
5043.65;0.00799079
5099.22;0.01037219
5153.15;0.00953129
5208.395;0.00951109
5264.625;0.00998559
5324.8;0.00930709
5383.665;0.00986959
5442.855;0.00911339
5504.015;0.00938379
5566.825;0.00978149
5626.015;0.01047179
5687.835;0.01042769
5751.3;0.01047469
5813.775;0.01073669
